"table_name","ordinal_position","column_name","data_type","is_nullable","column_default","constraint_type","foreign_table_name","foreign_column_name"
"push_tickets",8,"error_code","text","YES",NULL,"",NULL,NULL
"push_tickets",9,"created_at","timestamp with time zone","YES","now()","",NULL,NULL
"push_tokens",1,"id","uuid","NO","gen_random_uuid()","PK","push_tokens","id"
"push_tokens",2,"user_id","uuid","NO",NULL,"FK","users","id"
"push_tokens",3,"expo_push_token","text","NO",NULL,"",NULL,NULL
"push_tokens",4,"device_id","text","YES",NULL,"",NULL,NULL
"push_tokens",5,"platform","character varying","YES",NULL,"",NULL,NULL
"push_tokens",6,"last_seen","timestamp with time zone","YES","now()","",NULL,NULL
"push_tokens",7,"revoked_at","timestamp with time zone","YES",NULL,"",NULL,NULL
"push_tokens",8,"permission_status","character varying","YES","'granted'::character varying","",NULL,NULL
"report_jobs",1,"id","uuid","NO","gen_random_uuid()","PK","report_jobs","id"
"report_jobs",2,"report_type","character varying","NO",NULL,"",NULL,NULL
"report_jobs",3,"params","jsonb","YES",NULL,"",NULL,NULL
"report_jobs",4,"requester_id","uuid","YES",NULL,"FK","users","id"
"report_jobs",5,"requester_name","character varying","YES",NULL,"",NULL,NULL
"report_jobs",6,"status","character varying","YES","'COMPLETED'::character varying","",NULL,NULL
"report_jobs",7,"created_at","timestamp with time zone","YES","now()","",NULL,NULL
"user_movimentacoes",1,"id","uuid","NO","gen_random_uuid()","PK","user_movimentacoes","id"
"user_movimentacoes",2,"user_id","uuid","NO",NULL,"FK","users","id"
"user_movimentacoes",3,"acao","character varying","NO",NULL,"",NULL,NULL
"user_movimentacoes",4,"por_id","uuid","YES",NULL,"FK","users","id"
"user_movimentacoes",5,"motivo","text","YES",NULL,"",NULL,NULL
"user_movimentacoes",6,"criado_em","timestamp with time zone","YES","now()","",NULL,NULL
"user_vinculos",1,"id","uuid","NO","gen_random_uuid()","PK","user_vinculos","id"
"user_vinculos",2,"user_id","uuid","NO",NULL,"FK","users","id"
"user_vinculos",3,"scope","character varying","NO",NULL,"",NULL,NULL
"user_vinculos",4,"uf","character varying","YES",NULL,"",NULL,NULL
"user_vinculos",5,"branch","character varying","YES",NULL,"",NULL,NULL
"user_vinculos",6,"role","character varying","NO",NULL,"",NULL,NULL
"user_vinculos",7,"mandato_inicio","date","YES",NULL,"",NULL,NULL
"user_vinculos",8,"mandato_fim","date","YES",NULL,"",NULL,NULL
"user_vinculos",9,"status","character varying","NO","'ATIVO'::character varying","",NULL,NULL
"user_vinculos",10,"is_substitute","boolean","NO","false","",NULL,NULL
"user_vinculos",11,"created_at","timestamp with time zone","YES","now()","",NULL,NULL
"user_vinculos",12,"updated_at","timestamp with time zone","YES","now()","",NULL,NULL
"users",1,"id","uuid","NO","gen_random_uuid()","PK","users","id"
"users",2,"cpf","character varying","NO",NULL,"",NULL,NULL
"users",3,"name","character varying","NO",NULL,"",NULL,NULL
"users",4,"email","character varying","YES",NULL,"",NULL,NULL
"users",5,"password_hash","character varying","YES",NULL,"",NULL,NULL
"users",6,"perfil_acesso","character varying","YES",NULL,"",NULL,NULL
"users",7,"situacao","character varying","YES","'ATIVO'::character varying","",NULL,NULL
"users",8,"bloqueado","boolean","YES","false","",NULL,NULL
"users",9,"telefone1","character varying","YES",NULL,"",NULL,NULL
"users",10,"telefone2","character varying","YES",NULL,"",NULL,NULL
"users",11,"cep","character varying","YES",NULL,"",NULL,NULL
"users",12,"logradouro","text","YES",NULL,"",NULL,NULL
"users",13,"numero","character varying","YES",NULL,"",NULL,NULL
"users",14,"complemento","text","YES",NULL,"",NULL,NULL
"users",15,"bairro","character varying","YES",NULL,"",NULL,NULL
"users",16,"cidade","character varying","YES",NULL,"",NULL,NULL
"users",17,"uf","character varying","YES",NULL,"",NULL,NULL
"users",18,"uf_endereco","character varying","YES",NULL,"",NULL,NULL
"users",19,"data_nascimento","date","YES",NULL,"",NULL,NULL
"users",20,"sexo","character","YES",NULL,"",NULL,NULL
"users",21,"cargo","character varying","YES",NULL,"",NULL,NULL
"users",22,"avatar_url","text","YES",NULL,"",NULL,NULL
"users",23,"avatar_public_id","text","YES",NULL,"",NULL,NULL
"users",24,"created_at","timestamp with time zone","YES","now()","",NULL,NULL
"users",25,"updated_at","timestamp with time zone","YES","now()","",NULL,NULL
"users",26,"ultimo_acesso","timestamp with time zone","YES",NULL,"",NULL,NULL
"users",27,"arquivado_em","timestamp with time zone","YES",NULL,"",NULL,NULL
"users",28,"arquivado_motivo","text","YES",NULL,"",NULL,NULL
"users",29,"arquivado_por","uuid","YES",NULL,"FK","users","id"
"users",30,"desarquivado_em","timestamp with time zone","YES",NULL,"",NULL,NULL
"users",31,"desarquivado_motivo","text","YES",NULL,"",NULL,NULL
"users",32,"desarquivado_por","uuid","YES",NULL,"FK","users","id"
"users",33,"perfil_acesso2","character varying","YES",NULL,"",NULL,NULL
"users",34,"cargo2","character varying","YES",NULL,"",NULL,NULL
"users",35,"uf2","character varying","YES",NULL,"",NULL,NULL
"users",36,"cargo_mandato_inicio","date","YES",NULL,"",NULL,NULL
"users",37,"cargo_mandato_fim","date","YES",NULL,"",NULL,NULL
"users",38,"token_acesso_temp","text","YES",NULL,"",NULL,NULL
"users",39,"token_expiracao","timestamp with time zone","YES",NULL,"",NULL,NULL
"votacao_opcoes",1,"id","uuid","NO","gen_random_uuid()","PK","votacao_opcoes","id"
"votacao_opcoes",2,"votacao_id","uuid","NO",NULL,"FK","votacoes","id"
"votacao_opcoes",3,"texto","text","NO",NULL,"",NULL,NULL
"votacao_opcoes",4,"ordem","integer","YES","0","",NULL,NULL
"votacao_votos",1,"id","uuid","NO","gen_random_uuid()","PK","votacao_votos","id"
"votacao_votos",2,"votacao_id","uuid","NO",NULL,"",NULL,NULL
"votacao_votos",2,"votacao_id","uuid","NO",NULL,"FK","votacoes","id"
"votacao_votos",3,"opcao_id","uuid","NO",NULL,"FK","votacao_opcoes","id"
"votacao_votos",4,"user_id","uuid","NO",NULL,"FK","users","id"
"votacao_votos",4,"user_id","uuid","NO",NULL,"",NULL,NULL
"votacao_votos",5,"recibo","uuid","YES","gen_random_uuid()","",NULL,NULL
"votacao_votos",6,"device_id","text","YES",NULL,"",NULL,NULL
"votacao_votos",7,"biometria_confirmada","boolean","YES","false","",NULL,NULL
"votacao_votos",8,"ip","text","YES",NULL,"",NULL,NULL
"votacao_votos",9,"user_agent","text","YES",NULL,"",NULL,NULL
"votacao_votos",10,"registrado_em","timestamp with time zone","YES","now()","",NULL,NULL
"votacoes",1,"id","uuid","NO","gen_random_uuid()","PK","votacoes","id"
"votacoes",2,"titulo","character varying","NO",NULL,"",NULL,NULL
"votacoes",3,"descricao","text","YES",NULL,"",NULL,NULL
"votacoes",4,"status","character varying","YES","'AGENDADA'::character varying","",NULL,NULL
"votacoes",5,"abre_em","timestamp with time zone","YES",NULL,"",NULL,NULL
"votacoes",6,"encerra_em","timestamp with time zone","YES",NULL,"",NULL,NULL
"votacoes",7,"criado_por","uuid","YES",NULL,"FK","users","id"
"votacoes",8,"criado_em","timestamp with time zone","YES","now()","",NULL,NULL
"votacoes",9,"updated_at","timestamp with time zone","YES","now()","",NULL,NULL
"assembleia_checkins_pendentes",1,"id","uuid","NO","gen_random_uuid()","PK","assembleia_checkins_pendentes","id"
"assembleia_checkins_pendentes",2,"assembleia_id","uuid","NO",NULL,"FK","assembleias","id"
"assembleia_checkins_pendentes",3,"quorum_id","uuid","NO",NULL,"FK","assembleia_quoruns","id"
"assembleia_checkins_pendentes",4,"user_id_superior","uuid","NO",NULL,"FK","users","id"
"assembleia_checkins_pendentes",5,"user_id_subordinado","uuid","NO",NULL,"FK","users","id"
"assembleia_checkins_pendentes",6,"branch","character varying","NO",NULL,"",NULL,NULL
"assembleia_checkins_pendentes",7,"criado_em","timestamp with time zone","YES","now()","",NULL,NULL
